day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
2,2014,11,4,04/11/2014,59.5,23.7,1020,10,4.4,7,15,68,39,0,999.9,0,424682
4,2014,11,13,13/11/2014,45.1,30.1,1018,9.9,3,6,999.9,64.9,39,0,999.9,0,464077
1,2014,11,24,24/11/2014,60.7,53.2,1007.5,7.9,4,8.9,20,69.1,43,0.68,999.9,0,398633
5,2014,11,7,07/11/2014,49,38.5,1004,8.5,5.3,9.9,22,57,45,0.25,999.9,0,486697
3,2014,11,12,12/11/2014,59.5,52.6,1013.1,5.7,2.4,6,999.9,64.9,48.9,0,999.9,1,444745
3,2014,11,19,19/11/2014,26.7,4.5,1021.4,10,6.9,9.9,21,45,21.9,0,999.9,0,458644
4,2014,11,20,20/11/2014,38.2,16.3,1014.6,10,5.7,11.1,22.9,45,21.9,0,999.9,0,458620
5,2014,11,28,28/11/2014,33.5,19.6,1020.1,10,5.6,8.9,21,37,30.9,0.02,999.9,0,347711
7,2014,11,2,02/11/2014,44.1,28.1,1010.4,9.9,9.4,14,26,48,42.1,0.29,999.9,0,435721
2,2014,11,11,11/11/2014,56.4,47.7,1018.7,8.9,2.9,8,15.9,64,44.1,0,999.9,0,402435
6,2014,11,1,01/11/2014,46.5,39.1,1009.9,8.9,7.9,12,24.1,55,44.1,0.11,999.9,0,561404
1,2014,11,10,10/11/2014,51.9,32.5,1019.2,10,1.9,6,999.9,61,44.1,0,999.9,0,407197
7,2014,11,16,16/11/2014,40,20.4,1026.6,10,2.9,7,999.9,44.1,33.1,0,999.9,0,442084
6,2014,11,15,15/11/2014,37.2,17.3,1024.7,10,4.1,6,999.9,42.1,33.1,0.06,999.9,0,508043
5,2014,11,14,14/11/2014,38.6,26,1016.7,8.3,5.6,9.9,19,48,35.1,0.26,999.9,0,491482
1,2014,11,17,17/11/2014,43.7,38.2,1014.9,4.2,2.6,8.9,999.9,52,35.1,0.49,999.9,1,402189
3,2014,11,5,05/11/2014,60.4,36.4,1018.1,10,4.3,6,17.1,68,53.1,0,999.9,0,449110
3,2014,12,31,31/12/2014,29.4,8.5,1026.7,10,4.3,8.9,18.1,34,27,0,999.9,0,405293
7,2014,12,21,21/12/2014,32.4,23.2,1025.7,9.6,3.8,7,999.9,36,30,0,999.9,0,419889
2,2014,12,30,30/12/2014,32.5,14.6,1026.9,10,4.3,7,15,44.1,30,0,999.9,0,377702
6,2014,12,20,20/12/2014,31.7,19.1,1023.9,10,4.8,8,15,37.9,30,0,999.9,0,494266
3,2014,12,10,10/12/2014,37.7,32.7,1003.7,7,6.6,11.1,22.9,42.1,32,2.01,999.9,0,447350
5,2014,12,19,19/12/2014,36.2,21.6,1016.5,10,6.4,9.9,17.1,42.1,32,0,999.9,0,509016
6,2014,12,13,13/12/2014,37.5,23.7,1014.5,10,8.2,12,21,44.1,32,0,999.9,0,501276
6,2014,12,6,06/12/2014,44.8,42,1021.4,3,2.6,7,999.9,50,34,0.68,999.9,0,508899
5,2014,12,5,05/12/2014,38.4,26,1033.7,9.4,6.1,11.1,17.1,45,34,0,999.9,0,496034
